"module name","licenses","repository","licenseUrl","parents"
"ms@2.1.2","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","memorystore:cards"
"ms@2.1.3","MIT","https://github.com/vercel/ms","https://github.com/vercel/ms/raw/master/license.md","nodemon:cards"
"natural-compare@1.4.0","MIT","https://github.com/litejs/natural-compare-lite","https://github.com/litejs/natural-compare-lite","cards"
"nedb@1.8.0","SEE LICENSE IN LICENSE","https://github.com/louischatriot/nedb","https://github.com/louischatriot/nedb/raw/master/LICENSE","cards"
"negotiator@0.6.2","MIT","https://github.com/jshttp/negotiator","https://github.com/jshttp/negotiator/raw/master/LICENSE","cards"
"nodemon@2.0.6","MIT","https://github.com/remy/nodemon","https://github.com/remy/nodemon/raw/master/LICENSE","cards"
"nopt@1.0.10","MIT","https://github.com/isaacs/nopt","https://github.com/isaacs/nopt/raw/master/LICENSE","cards"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path","https://github.com/jonschlinkert/normalize-path/raw/master/LICENSE","cards"
"normalize-url@4.5.0","MIT","https://github.com/sindresorhus/normalize-url","https://github.com/sindresorhus/normalize-url/raw/master/license","cards"
"on-finished@2.3.0","MIT","https://github.com/jshttp/on-finished","https://github.com/jshttp/on-finished/raw/master/LICENSE","cards"
"on-headers@1.0.2","MIT","https://github.com/jshttp/on-headers","https://github.com/jshttp/on-headers/raw/master/LICENSE","cards"
